Year,Hurricanes,EarlyYears,LaterYears,Group,Compared
1914,0,0,7,EarlyYears,0
1915,5,5,9,EarlyYears,5
1916,10,10,15,EarlyYears,10
1917,2,2,5,EarlyYears,2
1918,4,4,6,EarlyYears,4
1919,2,2,8,EarlyYears,2
1920,4,4,3,EarlyYears,4
1921,5,5,12,EarlyYears,5
1922,3,3,7,EarlyYears,3
1923,4,4,10,EarlyYears,4
1924,5,5,2,EarlyYears,5
1925,1,1,6,EarlyYears,1
1926,8,8,4,EarlyYears,8
1927,4,4,7,EarlyYears,4
1928,4,4,10,EarlyYears,4
1929,3,3,8,EarlyYears,3
1930,2,2,6,EarlyYears,2
1931,3,3,14,EarlyYears,3
1932,6,6,7,EarlyYears,6
1933,11,11,9,EarlyYears,11
1934,7,,,LaterYears,7
1935,5,,,LaterYears,9
1936,7,,,LaterYears,15
1937,4,,,LaterYears,5
1938,4,,,LaterYears,6
1939,3,,,LaterYears,8
1940,6,,,LaterYears,3
1941,4,,,LaterYears,12
1942,4,,,LaterYears,7
1943,5,,,LaterYears,10
1944,8,,,LaterYears,2
1945,5,,,LaterYears,6
1946,3,,,LaterYears,4
1947,5,,,LaterYears,7
1948,6,,,LaterYears,10
1949,7,,,LaterYears,8
1950,11,,,LaterYears,6
1951,8,,,LaterYears,14
1952,6,,,LaterYears,7
1953,6,,,LaterYears,9
1954,8,,,,
1955,9,,,,
1956,4,,,,
1957,3,,,,
1958,7,,,,
1959,7,,,,
1960,4,,,,
1961,8,,,,
1962,3,,,,
1963,7,,,,
1964,6,,,,
1965,4,,,,
1966,7,,,,
1967,6,,,,
1968,4,,,,
1969,12,,,,
1970,5,,,,
1971,6,,,,
1972,3,,,,
1973,4,,,,
1974,4,,,,
1975,6,,,,
1976,6,,,,
1977,5,,,,
1978,5,,,,
1979,5,,,,
1980,9,,,,
1981,7,,,,
1982,2,,,,
1983,3,,,,
1984,5,,,,
1985,7,,,,
1986,4,,,,
1987,3,,,,
1988,5,,,,
1989,7,,,,
1990,8,,,,
1991,4,,,,
1992,4,,,,
1993,4,,,,
1994,3,,,,
1995,11,,,,
1996,9,,,,
1997,3,,,,
1998,10,,,,
1999,8,,,,
2000,8,,,,
2001,9,,,,
2002,4,,,,
2003,7,,,,
2004,9,,,,
2005,15,,,,
2006,5,,,,
2007,6,,,,
2008,8,,,,
2009,3,,,,
2010,12,,,,
2011,7,,,,
2012,10,,,,
2013,2,,,,
2014,6,,,,
2015,4,,,,
2016,7,,,,
2017,10,,,,
2018,8,,,,
2019,6,,,,
2020,14,,,,
2021,7,,,,
2022,9,,,,
