State ,Drought,Flooding,Freeze,Severe storm,Tropical cyclone,Wildfire,Winter storm
AK,0,0,0,0,0,2344.4,0
AL,6938.1,137.7,152.4,14669.7,27197.6,733.3,2432
AR,6893.5,4703.9,298.6,11951.6,720.1,0,1360.4
AZ,1607.2,1922.4,0,5472,0,1356.1,0
CA,16558,19214.9,15491,3533.5,0,100093.8,0
CO,7342.7,2082.1,105,33317.9,0,7231.5,418.9
CT,13.3,612.2,42,908.9,6006.8,0,3146.3
DC,0,0,0,0,0,0,0
DE,887,34.7,12.6,286.2,1034.8,0,934.7
FL,1531.8,2944.1,13921.4,6645.3,422701.6,306.2,4027.9
GA,8401.7,1418.6,1315,13120.6,33040.8,294.8,2916.1
GU,0,0,0,0,4420,0,0
HI,0,0,0,0,6913,5665,0
IA,16507.2,24791.5,77.6,23085.2,0,0,236.1
ID,3592.6,586.3,12.6,0,0,3557,0
IL,17502.3,10169.4,431.9,28793.7,1082.4,0,2580.4
IN,8794.5,5541.3,234.5,15746.5,1266.5,0,799
KS,27046.8,3659.5,175.9,13993.2,0,0,205.7
KY,7902.5,968.1,255.6,16603.2,1585.3,0,1587.6
LA,7074.3,21528.6,210,12929,270543.4,0,2317.5
MA,20,1318.2,50.4,880.4,3689,0,5179.1
MD,3446.8,346.1,33.6,3772.8,6529.1,0,3146.9
ME,13.3,601.4,0,244.3,143.5,0,1626.6
MI,3301.5,3409.9,50.4,7112.7,115,0,677.5
MN,10260.7,6602.1,54.6,24933,0,100.4,226.5
MO,12652.1,16272.4,656.4,29335,560.9,0,929.2
MS,9029.1,3753.9,129.6,7010.1,62029.6,43.2,4818.7
MT,13883.9,357.2,12.6,1281.6,0,3473.5,0
NC,10759,106.5,312.8,8742.5,113340.3,90.5,2458.7
ND,24073.2,9758.7,12.6,417,0,13.2,38.9
NE,17442.9,5232.2,87,16293.3,0,58.6,42.4
NH,13.3,72.2,0,164.1,462.8,0,1630.7
NJ,513.6,1357.5,50.4,4175.4,53304.3,0,5707.7
NM,3421.6,0,0,1062.9,304.6,4520.1,0
NV,445.9,1089,0,63,0,1247.7,45.6
NY,631.9,2354,71.4,4951.6,68698,0,7982.6
OH,6633.8,1389.9,418.2,18918.5,3889,0,1795.8
OK,13450.5,2598,630,27412.5,0,348.4,1067.1
OR,4458.3,1655.4,138.6,107.5,0,5913,1477.9
PA,2591.3,1354.1,105,9692,12070,0,4021.4
PR,0,0,0,0,126324.8,0,0
RI,13.3,240.7,8.4,224.6,1355.7,0,1130.5
SC,4457.7,2611.7,652.2,5144.8,28857.5,0,1563.5
SD,14729.1,5649.5,25.2,2296.9,0,108.8,0
TN,7508.8,3988.9,196,23587.9,2518.3,1834,2846.6
TX,44129.3,15303.3,565.3,98418.2,248011.2,3166.1,26502.9
US,367808,202956.7,37343.4,514043.3,1542970.6,148046,104438.5
UT,530.1,1610,12.6,28.8,0,1405.4,0
VA,4841.2,2301.9,91.6,4030.2,11133.2,0,3141.7
VI,0,0,0,0,21081.5,0,0
VT,13.3,952.8,0,185.6,1173.7,0,1199.7
WA,4909,1099,113.4,69,0,3036.1,1081.2
WI,5869.3,6401,50.4,9814.5,0,0,252
WV,2337.4,2853.9,70.2,1160.9,866.3,0,884.5
WY,2833.3,0,8.4,1455.2,0,1104.9,0
