Favorite season,Dominant hand,Steak cooked,Movie preference,Vacation location,Tattoos ,Credit hours ,Pets ,Sleep 
Fall,right handed,medium rare,Comedy,beach/coastal,12,15,1,6
Summer,right handed,I do not eat steak,Romance,beach/coastal,0,15,6,7
Spring,right handed,medium rare,Romance,mountain,0,18,3,8
Spring,right handed,medium rare,Thriller,Theme Parks/Entertainment,0,16,1,9
Summer,right handed,medium rare,Action,beach/coastal,1,16,3,8
Spring,right handed,medium,Action,mountain,1,15,1,7
Spring,right handed,medium rare,Fantasy,mountain,0,17,2,7.2
Summer,right handed,medium,Comedy,mountain,0,16,2,8
Fall,right handed,medium,Action,Theme Parks/Entertainment,0,16,0,6
Fall,right handed,medium rare,Action,mountain,1,18,2,7
Fall,right handed,medium,Comedy,beach/coastal,0,15,0,7
Fall,right handed,medium,Comedy,mountain,10,15,3,7
Fall,right handed,medium well,Thriller,Theme Parks/Entertainment,0,14,0,8
Winter,right handed,medium well,Romance,beach/coastal,4,14,2,6
Fall,right handed,well done,Action,beach/coastal,0,12,0,8
Summer,right handed,medium,Action,beach/coastal,1,12,3,7
Winter,right handed,medium rare,Action,mountain,0,12,0,7
Spring,right handed,I do not eat steak,Romance,beach/coastal,0,14,0,7
Spring,right handed,I do not eat steak,Romance,mountain,3,16,1,5
Winter,right handed,medium rare,Drama,City/Cultural Exploration,0,15,0,6
Spring,left handed,well done,Drama,Theme Parks/Entertainment,0,12,19,8
Summer,right handed,I do not eat steak,Drama,Staycation/Relaxing at Home,0,15,1,3
Fall,left handed,well done,Comedy,beach/coastal,0,12,1,7
Summer,right handed,well done,Comedy,beach/coastal,0,15,5,7.5
Fall,right handed,medium rare,Comedy,beach/coastal,1,12,0,9
Spring,right handed,medium,Action,beach/coastal,1,15,0,7
Winter,right handed,medium well,Romance,beach/coastal,0,16,2,7
Summer,right handed,medium well,Comedy,beach/coastal,4,16,1,8
Spring,right handed,medium rare,Comedy,beach/coastal,0,19,2,7.5
Spring,left handed,well done,Romance,City/Cultural Exploration,0,15,0,7
Winter,right handed,medium,Comedy,beach/coastal,2,15,0,7
Fall,ambidextrous,medium rare,Comedy,mountain,5,21,7,7
Fall,ambidextrous,well done,Comedy,Staycation/Relaxing at Home,4,15,8,4
Fall,right handed,medium well,Action,beach/coastal,0,15,1,6
Summer,left handed,well done,Drama,Staycation/Relaxing at Home,0,15,0,6
Spring,right handed,medium,Romance,beach/coastal,5,15,3,10
Winter,right handed,medium,Comedy,mountain,0,15,2,6
Summer,right handed,medium,Comedy,beach/coastal,0,16,1,7
Fall,right handed,medium well,Comedy,beach/coastal,0,14,2,8
Summer,right handed,medium,Comedy,beach/coastal,0,12,2,8
Summer,right handed,medium rare,Romance,beach/coastal,0,15,0,8
Fall,right handed,I do not eat steak,Thriller,mountain,4,18,1,8
Fall,right handed,medium,Comedy,beach/coastal,1,13,1,9
